ID,Health,Type
115,40,Hawk
116,40,Hawk
117,20,Hawk
118,60,Hawk
119,80,Hawk
120,100,Hawk
121,100,Hawk
122,20,Hawk
123,20,Hawk
124,100,Hawk
125,40,Hawk
126,40,Hawk
127,20,Hawk
128,60,Hawk
129,20,Hawk
130,100,Hawk
131,20,Hawk
132,40,Hawk
133,40,Hawk
134,60,Hawk
135,40,Hawk
136,20,Hawk
137,100,Hawk
138,60,Hawk
139,60,Hawk
140,40,Hawk
141,20,Hawk
142,60,Hawk
143,20,Hawk
144,20,Hawk
145,20,Hawk
146,20,Hawk
147,80,Hawk
148,40,Hawk
149,60,Hawk
150,100,Hawk
151,60,Hawk
152,60,Hawk
153,40,Hawk
154,60,Hawk
155,20,Hawk
156,80,Hawk
157,80,Hawk
158,20,Hawk
159,80,Hawk
160,60,Hawk
161,40,Hawk
162,20,Hawk
163,60,Hawk
164,20,Hawk
165,80,Hawk
166,20,Hawk
167,80,Hawk
168,20,Hawk
169,100,Hawk
170,40,Hawk
171,60,Hawk
172,20,Hawk
173,80,Hawk
174,40,Hawk
175,60,Hawk
176,40,Hawk
177,40,Hawk
178,20,Hawk
179,40,Hawk
180,60,Hawk
181,40,Hawk
182,100,Hawk
183,20,Hawk
184,20,Hawk
185,60,Hawk
186,80,Hawk
ID,Health,Type
1,100,Dove
2,100,Dove
3,80,Dove
4,20,Dove
5,100,Dove
6,60,Dove
7,40,Dove
8,40,Dove
9,40,Dove
10,20,Dove
11,80,Dove
12,60,Dove
13,80,Dove
14,60,Dove
15,80,Dove
16,40,Dove
17,20,Dove
18,60,Dove
19,100,Dove
20,40,Dove
21,100,Dove
22,80,Dove
23,100,Dove
24,40,Dove
25,100,Dove
26,40,Dove
27,80,Dove
28,40,Dove
29,100,Dove
30,40,Dove
31,80,Dove
32,80,Dove
33,20,Dove
34,80,Dove
35,80,Dove
36,20,Dove
37,60,Dove
38,80,Dove
39,100,Dove
40,100,Dove
41,100,Dove
42,60,Dove
43,60,Dove
44,60,Dove
45,60,Dove
46,40,Dove
47,60,Dove
48,100,Dove
49,60,Dove
50,80,Dove
51,80,Dove
52,60,Dove
53,20,Dove
54,80,Dove
55,80,Dove
56,20,Dove
57,60,Dove
58,40,Dove
59,80,Dove
60,80,Dove
61,80,Dove
62,40,Dove
63,100,Dove
64,60,Dove
65,20,Dove
66,20,Dove
67,100,Dove
68,40,Dove
69,80,Dove
70,80,Dove
71,80,Dove
72,80,Dove
73,80,Dove
74,100,Dove
75,60,Dove
76,40,Dove
77,40,Dove
78,80,Dove
79,100,Dove
80,80,Dove
81,100,Dove
82,20,Dove
83,60,Dove
84,20,Dove
85,60,Dove
86,40,Dove
87,60,Dove
88,40,Dove
89,80,Dove
90,80,Dove
91,20,Dove
92,80,Dove
93,80,Dove
94,20,Dove
95,20,Dove
96,40,Dove
97,100,Dove
98,100,Dove
99,40,Dove
100,60,Dove
101,100,Dove
102,40,Dove
103,80,Dove
104,80,Hawk
105,80,Hawk
106,40,Hawk
107,20,Hawk
108,60,Hawk
109,60,Hawk
110,80,Hawk
111,60,Hawk
112,60,Hawk
113,60,Hawk
114,100,Hawk
115,40,Hawk
116,80,Hawk
117,40,Hawk
118,60,Hawk
119,40,Hawk
120,100,Hawk
121,20,Hawk
122,80,Hawk
123,40,Hawk
124,60,Hawk
125,40,Hawk
126,20,Hawk
127,100,Hawk
128,20,Hawk
129,40,Hawk
130,100,Hawk
131,20,Hawk
132,80,Hawk
133,20,Hawk
134,100,Hawk
135,40,Hawk
136,60,Hawk
137,100,Hawk
138,80,Hawk
139,80,Hawk
140,80,Hawk
141,20,Hawk
142,100,Hawk
143,40,Hawk
144,100,Hawk
145,60,Hawk
146,40,Hawk
147,20,Hawk
148,40,Hawk
149,40,Hawk
150,80,Hawk
151,20,Hawk
152,80,Hawk
153,20,Hawk
154,80,Hawk
155,80,Hawk
156,40,Hawk
157,20,Hawk
158,80,Hawk
159,80,Hawk
160,80,Hawk
161,80,Hawk
162,80,Hawk
163,20,Hawk
164,20,Hawk
165,20,Hawk
166,80,Hawk
167,20,Hawk
168,100,Hawk
169,60,Hawk
170,80,Hawk
171,20,Hawk
172,20,Hawk
173,60,Hawk
174,80,Hawk
175,100,Hawk
176,100,Hawk
177,100,Hawk
178,100,Hawk
179,20,Hawk
180,80,Hawk
181,40,Hawk
182,60,Hawk
183,80,Hawk
184,40,Hawk
185,60,Hawk
186,60,Hawk
187,40,Hawk
188,20,Hawk
189,80,Hawk
190,40,Hawk
191,80,Hawk
192,40,Hawk
193,40,Hawk
194,40,Hawk
195,40,Hawk
196,80,Hawk
197,80,Hawk
198,80,Hawk
199,60,Hawk
200,100,Hawk
201,80,Hawk
202,80,Hawk
203,80,Hawk
204,80,Hawk
205,60,Hawk
206,40,Hawk
ID,Health,Type
1,20,Dove
2,40,Dove
3,100,Dove
4,40,Dove
5,60,Dove
6,40,Dove
7,40,Dove
8,20,Dove
9,60,Dove
10,80,Dove
11,20,Dove
12,80,Dove
13,80,Dove
14,40,Dove
15,100,Dove
16,80,Dove
17,100,Dove
18,60,Dove
19,20,Dove
20,80,Dove
21,100,Dove
22,20,Dove
23,80,Dove
24,80,Dove
25,60,Dove
26,40,Dove
27,40,Dove
28,40,Dove
29,80,Dove
30,40,Dove
31,40,Dove
32,40,Dove
33,20,Dove
34,20,Dove
35,60,Dove
36,20,Dove
37,80,Dove
38,80,Dove
39,60,Dove
40,80,Dove
41,80,Dove
42,60,Dove
43,40,Dove
44,40,Dove
45,40,Dove
46,100,Dove
47,20,Dove
48,100,Dove
49,40,Dove
50,40,Dove
51,80,Dove
52,20,Dove
53,40,Dove
54,60,Dove
55,100,Dove
56,20,Dove
57,100,Dove
58,80,Dove
59,80,Dove
60,20,Dove
61,80,Dove
62,20,Dove
63,80,Dove
64,20,Dove
65,100,Dove
66,40,Dove
67,80,Dove
68,80,Dove
69,20,Dove
70,40,Dove
71,80,Dove
72,100,Dove
73,100,Dove
74,60,Dove
75,20,Dove
76,40,Dove
77,20,Dove
78,40,Dove
79,100,Dove
80,80,Dove
81,60,Dove
82,20,Dove
83,100,Dove
84,80,Dove
85,100,Dove
86,20,Dove
87,60,Dove
88,80,Dove
89,40,Dove
90,20,Dove
91,80,Dove
92,40,Dove
93,100,Dove
94,100,Dove
95,40,Dove
96,100,Dove
97,20,Dove
98,80,Dove
99,40,Dove
100,80,Dove
101,40,Dove
102,80,Dove
103,40,Dove
104,40,Dove
105,40,Dove
106,40,Dove
107,60,Dove
108,80,Dove
109,60,Dove
110,60,Dove
111,100,Dove
112,80,Dove
113,60,Dove
114,60,Hawk
115,100,Hawk
116,40,Hawk
117,20,Hawk
118,80,Hawk
119,20,Hawk
120,80,Hawk
121,60,Hawk
122,60,Hawk
123,20,Hawk
124,60,Hawk
125,100,Hawk
126,100,Hawk
127,100,Hawk
128,40,Hawk
129,40,Hawk
130,80,Hawk
131,100,Hawk
132,20,Hawk
133,80,Hawk
134,60,Hawk
135,40,Hawk
136,40,Hawk
137,100,Hawk
138,100,Hawk
139,20,Hawk
140,100,Hawk
141,100,Hawk
142,20,Hawk
143,40,Hawk
144,80,Hawk
145,20,Hawk
146,80,Hawk
147,40,Hawk
148,60,Hawk
149,100,Hawk
150,100,Hawk
151,20,Hawk
152,80,Hawk
153,100,Hawk
154,60,Hawk
155,20,Hawk
156,100,Hawk
157,60,Hawk
158,60,Hawk
159,40,Hawk
160,100,Hawk
161,60,Hawk
162,80,Hawk
163,40,Hawk
164,20,Hawk
165,20,Hawk
166,100,Hawk
167,20,Hawk
168,60,Hawk
169,100,Hawk
170,20,Hawk
171,100,Hawk
172,80,Hawk
173,100,Hawk
174,60,Hawk
175,60,Hawk
176,60,Hawk
177,100,Hawk
178,20,Hawk
179,100,Hawk
180,20,Hawk
181,20,Hawk
182,40,Hawk
183,80,Hawk
184,100,Hawk
185,80,Hawk
186,40,Hawk
187,40,Hawk
188,40,Hawk
189,60,Hawk
190,80,Hawk
191,40,Hawk
192,60,Hawk
193,100,Hawk
194,60,Hawk
195,20,Hawk
196,60,Hawk
197,20,Hawk
198,100,Hawk
199,60,Hawk
200,40,Hawk
201,20,Hawk
202,80,Hawk
203,60,Hawk
204,60,Hawk
205,40,Hawk
206,60,Hawk
207,80,Hawk
208,100,Hawk
209,80,Hawk
210,20,Hawk
211,20,Hawk
212,80,Hawk
213,100,Hawk
214,40,Hawk
215,80,Hawk
216,80,Hawk
217,40,Hawk
218,60,Hawk
219,60,Hawk
220,40,Hawk
221,20,Hawk
222,40,Hawk
223,20,Hawk
224,20,Hawk
225,80,Hawk
226,80,Hawk
